CRYPTO NAME
BTC-USD
LTC-USD
NMC-USD
TRC-USD
PPC-USD
NVC-USD
FTC-USD
FRC-USD
IXC-USD
WDC-USD
DGC-USD
GLC-USD
PXC-USD
XPM-USD
ANC-USD
CSC-USD
XRP-USD
QRK-USD
ZET-USD
TAG-USD
PIN-USD
NXT-USD
UNO-USD
DTC-USD
DEM-USD
DOGE-USD
DMD-USD
HBN-USD
ORB-USD
OMNI-USD
TIPS-USD
DIME-USD
42-USD
VTC-USD
DGB-USD
RDD-USD
NYAN-USD
POT-USD
MAX-USD
DASH-USD
XCP-USD
MINT-USD
DOPE-USD
AUR-USD
MARS-USD
MIM-USD
UFO-USD
BLK-USD
XMY-USD
NOTE-USD
EMC2-USD
MONA-USD
RBY-USD
BELA-USD
GRS-USD
XPD-USD
PLNC-USD
XWC-USD
BITS-USD
QBC-USD
BLU-USD
MAID-USD
XBC-USD
NYC-USD
PINK-USD
DRM-USD
XMR-USD
CURE-USD
MOTO-USD
CLOAK-USD
BSD-USD
C2-USD
BCN-USD
NAV-USD
START-USD
XDN-USD
THC-USD
XST-USD
CLAM-USD
BTS-USD
VIA-USD
XCN-USD
CARBON-USD
CANN-USD
XLM-USD
SYS-USD
DONU-USD
EMC-USD
RBBT-USD
GAME-USD
N8V-USD
UBQ-USD
OPAL-USD
ACOIN-USD
BITCNY-USD
EXCL-USD
TROLL-USD
BSTY-USD
PXI-USD
BITS-USD
XVG-USD
SPR-USD
RBT-USD
BLOCK-USD
CRW-USD
GCN-USD
XQN-USD
OK-USD
XPY-USD
COVAL-USD
NXS-USD
SMLY-USD
KOBO-USD
BITB-USD
USDT-USD
WBB-USD
GRC-USD
XCO-USD
LDOGE-USD
SONG-USD
LOG-USD
XEM-USD
NTRN-USD
XAUR-USD
CF-USD
AIB-USD
MEDIC-USD
BUB-USD
UNIT-USD
PKB-USD
ARB-USD
BTA-USD
ADC-USD
SNRG-USD
XRA-USD
CREVA-USD
BSC-USD
HNC-USD
MANNA-USD
AXIOM-USD
AEON-USD
ETH-USD
TX-USD
GCC-USD
